Lex comparison: SP vs True — sorted by priority descending
 PatientID     SP   True    Priority     Verdict
        56      Y      Y           7        both
        22      N      N           6     neither
       192      Y      N           5      A only
       858      Y      N           4      A only
       135      Y      N           3      A only
       640      N      N           2     neither
       886      Y      N           1      A only
--------------------------------------------------
Both      : 440
A only    : 207
B only    : 1
Neither   : 314
